[2025-08-11 11:47:44] ℹ️ Processo 71000.084504/2024-06 sem links.
[2025-08-11 11:47:44] Iniciando scraping do processo: 71000.086689/2024-85
[2025-08-11 11:47:47] ℹ️ Processo 71000.086689/2024-85 sem links.
[2025-08-11 11:47:47] Iniciando scraping do processo: 71000.087757/2024-23
[2025-08-11 11:47:49] ℹ️ Processo 71000.087757/2024-23 sem links.
[2025-08-11 11:47:49] Iniciando scraping do processo: 71000.087752/2024-09
[2025-08-11 11:47:52] ℹ️ Processo 71000.087752/2024-09 sem links.
[2025-08-11 11:47:52] Iniciando scraping do processo: 71000.088424/2024-11
[2025-08-11 11:47:55] ℹ️ Processo 71000.088424/2024-11 sem links.
[2025-08-11 11:47:55] Iniciando scraping do processo: 71000.087822/2024-11
[2025-08-11 11:47:57] ℹ️ Processo 71000.087822/2024-11 sem links.
[2025-08-11 11:47:57] Iniciando scraping do processo: 71000.042234/2024-58
[2025-08-11 11:48:00] ℹ️ Processo 71000.042234/2024-58 sem links.
[2025-08-11 11:48:00] Iniciando scraping do processo: 71000.088426/2024-19
[2025-08-11 11:48:03] ℹ️ Processo 71000.088426/2024-19 sem links.
[2025-08-11 11:48:03] Iniciando scraping do processo: 71000.088612/2024-40
[2025-08-11 11:48:05] ℹ️ Processo 71000.088612/2024-40 sem links.
[2025-08-11 11:48:05] Iniciando scraping do processo: 71000.016872/2024-13
[2025-08-11 11:48:08] ℹ️ Processo 71000.016872/2024-13 sem links.
[2025-08-11 11:48:08] Iniciando scraping do processo: 71000.088688/2024-75
[2025-08-11 11:48:10] ℹ️ Processo 71000.088688/2024-75 sem links.
[2025-08-11 11:48:11] Iniciando scraping do processo: 71000.089716/2024-71
[2025-08-11 11:48:13] ℹ️ Processo 71000.089716/2024-71 sem links.
[2025-08-11 11:48:13] Iniciando scraping do processo: 71000.048897/2024-86
[2025-08-11 11:48:16] ℹ️ Processo 71000.048897/2024-86 sem links.
[2025-08-11 11:48:16] Iniciando scraping do processo: 71000.090511/2024-39
[2025-08-11 11:48:18] ℹ️ Processo 71000.090511/2024-39 sem links.
[2025-08-11 11:48:18] Iniciando scraping do processo: 71000.055722/2024-25
[2025-08-11 11:48:21] ℹ️ Processo 71000.055722/2024-25 sem links.
[2025-08-11 11:48:21] Iniciando scraping do processo: 71000.010874/2024-07
[2025-08-11 11:48:24] ℹ️ Processo 71000.010874/2024-07 sem links.
[2025-08-11 11:48:24] Iniciando scraping do processo: 71000.016789/2024-44
[2025-08-11 11:48:26] ℹ️ Processo 71000.016789/2024-44 sem links.
[2025-08-11 11:48:26] Iniciando scraping do processo: 71000.072256/2024-42
[2025-08-11 11:48:29] ℹ️ Processo 71000.072256/2024-42 sem links.
[2025-08-11 11:48:29] Iniciando scraping do processo: 71000.013236/2024-30
[2025-08-11 11:48:32] ℹ️ Processo 71000.013236/2024-30 sem links.
[2025-08-11 11:48:32] Iniciando scraping do processo: 71000.013147/2024-93
[2025-08-11 11:48:35] ℹ️ Processo 71000.013147/2024-93 sem links.
[2025-08-11 11:48:35] Iniciando scraping do processo: 71000.013013/2024-72
[2025-08-11 11:48:43] ℹ️ Processo 71000.013013/2024-72 sem links.
[2025-08-11 11:48:43] Iniciando scraping do processo: 71000.075734/2024-76
[2025-08-11 11:48:46] ℹ️ Processo 71000.075734/2024-76 sem links.
[2025-08-11 11:48:46] Iniciando scraping do processo: 71000.018231/2024-01
[2025-08-11 11:48:49] ℹ️ Processo 71000.018231/2024-01 sem links.
[2025-08-11 11:48:49] Iniciando scraping do processo: 71000.042741/2024-91
[2025-08-11 11:48:51] ℹ️ Processo 71000.042741/2024-91 sem links.
[2025-08-11 11:48:51] Iniciando scraping do processo: 71000.053067/2024-71
[2025-08-11 11:48:54] ℹ️ Processo 71000.053067/2024-71 sem links.
[2025-08-11 11:48:54] Iniciando scraping do processo: 71000.012977/2024-01
