[2025-07-14 08:22:53] ℹ️ Processo 71000.082439/2024-76 sem links.
[2025-07-14 08:22:53] Iniciando scraping do processo: 71000.079870/2023-54
[2025-07-14 08:22:56] ℹ️ Processo 71000.079870/2023-54 sem links.
[2025-07-14 08:22:56] Iniciando scraping do processo: 71000.084354/2024-22
[2025-07-14 08:22:58] ℹ️ Processo 71000.084354/2024-22 sem links.
[2025-07-14 08:22:58] Iniciando scraping do processo: 71000.084504/2024-06
[2025-07-14 08:23:01] ℹ️ Processo 71000.084504/2024-06 sem links.
[2025-07-14 08:23:01] Iniciando scraping do processo: 71000.086689/2024-85
[2025-07-14 08:23:03] ℹ️ Processo 71000.086689/2024-85 sem links.
[2025-07-14 08:23:03] Iniciando scraping do processo: 71000.087757/2024-23
[2025-07-14 08:23:06] ℹ️ Processo 71000.087757/2024-23 sem links.
[2025-07-14 08:23:06] Iniciando scraping do processo: 71000.087752/2024-09
[2025-07-14 08:23:08] ℹ️ Processo 71000.087752/2024-09 sem links.
[2025-07-14 08:23:08] Iniciando scraping do processo: 71000.088424/2024-11
[2025-07-14 08:23:11] ℹ️ Processo 71000.088424/2024-11 sem links.
[2025-07-14 08:23:11] Iniciando scraping do processo: 71000.087822/2024-11
[2025-07-14 08:23:14] ℹ️ Processo 71000.087822/2024-11 sem links.
[2025-07-14 08:23:14] Iniciando scraping do processo: 71000.042234/2024-58
[2025-07-14 08:23:17] ℹ️ Processo 71000.042234/2024-58 sem links.
[2025-07-14 08:23:17] Iniciando scraping do processo: 71000.088426/2024-19
[2025-07-14 08:23:19] ℹ️ Processo 71000.088426/2024-19 sem links.
[2025-07-14 08:23:19] Iniciando scraping do processo: 71000.088612/2024-40
[2025-07-14 08:23:22] ℹ️ Processo 71000.088612/2024-40 sem links.
[2025-07-14 08:23:22] Iniciando scraping do processo: 71000.016872/2024-13
[2025-07-14 08:23:24] ℹ️ Processo 71000.016872/2024-13 sem links.
[2025-07-14 08:23:24] Iniciando scraping do processo: 71000.088688/2024-75
[2025-07-14 08:23:27] ℹ️ Processo 71000.088688/2024-75 sem links.
[2025-07-14 08:23:27] Iniciando scraping do processo: 71000.089716/2024-71
[2025-07-14 08:23:30] ℹ️ Processo 71000.089716/2024-71 sem links.
[2025-07-14 08:23:30] Iniciando scraping do processo: 71000.048897/2024-86
[2025-07-14 08:23:32] ℹ️ Processo 71000.048897/2024-86 sem links.
[2025-07-14 08:23:32] Iniciando scraping do processo: 71000.090511/2024-39
[2025-07-14 08:23:35] ℹ️ Processo 71000.090511/2024-39 sem links.
[2025-07-14 08:23:35] Iniciando scraping do processo: 71000.055722/2024-25
[2025-07-14 08:23:38] ℹ️ Processo 71000.055722/2024-25 sem links.
[2025-07-14 08:23:38] Iniciando scraping do processo: 71000.010874/2024-07
[2025-07-14 08:23:40] ℹ️ Processo 71000.010874/2024-07 sem links.
[2025-07-14 08:23:40] Iniciando scraping do processo: 71000.016789/2024-44
[2025-07-14 08:23:43] ℹ️ Processo 71000.016789/2024-44 sem links.
[2025-07-14 08:23:43] Iniciando scraping do processo: 71000.072256/2024-42
[2025-07-14 08:23:45] ℹ️ Processo 71000.072256/2024-42 sem links.
[2025-07-14 08:23:45] Iniciando scraping do processo: 71000.013236/2024-30
[2025-07-14 08:23:47] ℹ️ Processo 71000.013236/2024-30 sem links.
[2025-07-14 08:23:47] Iniciando scraping do processo: 71000.013147/2024-93
[2025-07-14 08:23:50] ℹ️ Processo 71000.013147/2024-93 sem links.
[2025-07-14 08:23:50] Iniciando scraping do processo: 71000.013013/2024-72
[2025-07-14 08:23:53] ℹ️ Processo 71000.013013/2024-72 sem links.
[2025-07-14 08:23:53] Iniciando scraping do processo: 71000.075734/2024-76
[2025-07-14 08:23:56] ℹ️ Processo 71000.075734/2024-76 sem links.
